DesafioTexto,ImpactoPandemia,ManterTexto,OndeTrabalhaSimples,TimeDivisao,ContratoOrig,ContratoSimples,Salario,salario2019,Escolaridade?,AnosExperienciaUX,Nivel,Lideranca,Funcao,Genero,LGBTQ,Filhos,FilhosSimples,Raca,deficiencia,deficienciaSimples,Estado,Cidade,Idade,FaixaIdade
Estabelecer uma rotina de trabalho,Não sei responder / não tenho visibilidade,"Quero continuar home office, indo ao trabalho apenas para reuniões mais importantes e eventos ",Agência ou consultoria,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,2000,0,Superior completo,De 1 a 3,Júnior,Analista,UX Designer,Feminino,Não,Não,Não,Branco,Não tenho,Não,Rio Grande do Sul (RS),Eldorado do Sul,20,18 - 23
Enfrentar a insegurança quanto ao desemprego e incerteza da recolocação.,Não sei responder / não tenho visibilidade,Tentar voltar ao home office pelo menos algumas vezes na semana.,Agência ou consultoria,Atende clientes externos ( trabalho em consultoria ou freelancer),PJ,PJ,1500,0,Ensino médio completo / superior incompleto,Menos de 1,Júnior,Analista,UI Designer,Masculino,Sim,Não,Não,Branco,Não tenho,Não,São Paulo (SP),Regente Feijó,20,18 - 23
"Encontrar um fluxo de trabalho adequado, concentrar no trabalho e definir limites de tempo tanto para o pessoal quanto para o profissional.",A empresa foi afetada de forma relevante (perda de receita entre 15% e 50%),"Apesar de complicada, encontrei uma boa forma de trabalho home office, usando ferramentas em nuvem/ online, isso seria interessante manter.",Não estou trabalhando no momento,,,,,,,,,,,Masculino,Não,Não,Não,Pardo,Não tenho,Não,São Paulo (SP),São Bernardo do Campo,20,18 - 23
,A empresa foi positivamente afetada (crescimento no período),,Agência ou consultoria,Equipe que atende a outras áreas,CLT,CLT,3800,2700,Superior completo,De 1 a 3,Júnior,Analista,UX Designer,Masculino,Não,Não,Não,Branco,Deficiência motora,Sim,São Paulo (SP),São Paulo,21,18 - 23
Educar minha família de que estou no computador e preciso dar total atenção ao trabalho,A empresa foi positivamente afetada (crescimento no período),Os momentos de descanso,Empresa,Modelo híbrido / Cross: squads e visão central,CLT,CLT,7400,5200,Superior completo,De 1 a 3,Sênior,Analista,UX Designer,Feminino,Não,Não,Não,Pardo,Não tenho,Não,Distrito Federal (DF),Brasília,21,18 - 23
Descansar proprieamente e saber ter os momentos de pausa no trabalho,A empresa foi positivamente afetada (crescimento no período),Trabalho remoto,Start up,Modelo híbrido / Cross: squads e visão central,CLT,CLT,7200,4600,Especialização,De 1 a 3,Pleno,Analista,Designer de produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,21,18 - 23
Motivação do time,A empresa foi positivamente afetada (crescimento no período),Comunicação assíncrona,Start up,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,5400,4500,Ensino médio completo / superior incompleto,De 1 a 3,Júnior,Analista,Designer de produto,Masculino,Não,Não,Não,Branco,Não tenho,Não,Pernambuco (PE),Recife,21,18 - 23
A questão mental. Como lidar com uma situação tão crítica e seguir trabalhando e lidando com as obrigações do dia a dia.,Não sei responder / não tenho visibilidade,"Gostaria de manter o trabalho de forma 100% integral. Acredito que assim fico muito mais focada e tenho uma liberdade maior também, para poder sair durante o dia caso seja necessário e assim posso repor as horas mais tarde.     Investi bastante no meu setup, tenho um espaço reservado apenas para trabalho e adotei o estilo de vida.",Agência ou consultoria,É distribuído em diferentes squads / grupos / equipes,PJ,PJ,6500,3500,Especialização,De 1 a 3,Pleno,Analista,Designer de produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,21,18 - 23
Migrei de empresa durante a pandemia e o processo de onboarding e ganhar confiança foi mais complicado e demorado,A empresa foi afetada de forma relevante (perda de receita entre 15% e 50%),"Trabalhar de casa, para ter mais tempo para cuidar de mim ",Start up,Modelo híbrido / Cross: squads e visão central,CLT,CLT,7400,3000,Ensino médio completo / superior incompleto,De 4 a 5,Pleno,Analista,Pesquisador em design / UX Researcher / Pesquisador em produto,Feminino,Sim,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,21,18 - 23
,A empresa foi positivamente afetada (crescimento no período),,Start up,É distribuído em diferentes squads / grupos / equipes,PJ,PJ,6400,3000,Ensino médio completo / superior incompleto,De 1 a 3,Pleno,Analista,Designer de produto,Feminino,Sim,Não,Não,Branco,Não tenho,Não,Rio Grande do Sul (RS),Porto Alegre,21,18 - 23
"Adaptação, sem ter contato com as pessoas presencialmente para troca de ideias ",A empresa foi positivamente afetada (crescimento no período),"Poder estar mais presente em casa, não precisar acordar tão cedo e voltar tão tarde, exercícios ",Agência ou consultoria,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,3292,2682,Ensino médio completo / superior incompleto,De 4 a 5,Pleno,Analista,Designer de produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,Santa Catarina (SC),Ilhota,21,18 - 23
Pouca interação com pessoas,A empresa foi levemente afetada (perda de receita de até 15%),,Agência ou consultoria,Atende clientes externos ( trabalho em consultoria ou freelancer),PJ com benefícios,PJ,5000,2000,Ensino médio completo / superior incompleto,De 1 a 3,Júnior,Analista,Designer de produto,Masculino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São José do Rio Preto,21,18 - 23
,A empresa foi gravemente afetada (perda de receita superior a 50%),,Empresa,Não temos um time,CLT,CLT,3000,1600,Superior completo,De 1 a 3,Júnior,Analista,Designer de produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),Americana,21,18 - 23
- Foco;   - Não trabalhar mais do que devia;   - Entender que tem dias que estarei mais produtiva que outros.,A empresa foi positivamente afetada (crescimento no período),- Flexibilidade no trabalho;  - Autonomia;  - Cuidado com a saúde mental dos trabalhadores por parte da empresa.,Agência ou consultoria,Equipe que atende a outras áreas,Estagiário,Estagiário,1500,600,Ensino médio completo / superior incompleto,De 1 a 3,Estagiário(a),Analista,Designer de produto,Feminino,Sim,Não,Não,Branco,Não tenho,Não,Santa Catarina (SC),Florianópolis,21,18 - 23
Morar num bairro periférico cujo acesso a uma boa internet é quase impossível - visto que as redes maiores não tem alcance.,Não sei responder / não tenho visibilidade,Possibilidade de trabalhar home office quando necessário.,Outro,É distribuído em diferentes squads / grupos / equipes,Estagiário,Estagiário,870,400,Ensino médio completo / superior incompleto,De 1 a 3,Estagiário(a),Analista,Designer de interação,Outro ou não binário,Sim,Não,Não,Branco,Não tenho,Não,Pernambuco (PE),Recife,21,18 - 23
Adaptação de horário entre aula e trabalho,Não sei responder / não tenho visibilidade,Possibilidade de trabalho remoto,Agência ou consultoria,Equipe que atende a outras áreas,Estagiário,Estagiário,1400,0,Ensino médio completo / superior incompleto,De 1 a 3,Estagiário(a),Analista,Designer de produto,Feminino,Sim,Não,Não,Branco,Não tenho,Não,Rio de Janeiro (RJ),Rio de Janeiro,21,18 - 23
Não pensar em coisas do trabalho após o expediente.,Não sei responder / não tenho visibilidade,Dedicação a tempo de estudo.,Agência ou consultoria,O time é uma banda de uma pessoa só,CLT,CLT,1080,0,Superior completo,Menos de 1,Júnior,Analista,UX Designer,Feminino,Não,Não,Não,Pardo,Não tenho,Não,Bahia (BA),Salvador,21,18 - 23
"O local de trabalho em si, a empresa cedeu equipamentos como notebook e monitor, porém o ambiente (mesa e cadeira) é o que me faz sentir mais falta, além de um local exclusivo para trabalha, como um cômodo separado ou escritório externo",Não sei responder / não tenho visibilidade,A liberdade do horário e caso possível ocorra uma mistura de remoto e presencial,Start up,Não temos um time,CLT,CLT,,,Ensino médio completo / superior incompleto,Menos de 1,Júnior,Analista,UX Designer,Masculino,Não,Não,Não,Branco,Não tenho,Não,Minas Gerais (MG),João Monlevade,21,18 - 23
Criar uma rotina que me ajudasse e lidar com esse novo momento de homeoffice.,A empresa foi positivamente afetada (crescimento no período),Gosto de trabalhar dentro de casa e quero manter na minha rotina em empregos futuros.,Empresa,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,6500,5000,Ensino médio completo / superior incompleto,De 1 a 3,Pleno,Analista,Operações em design (DesignOps),Masculino,Não,Não,Não,Pardo,Daltonismo,Sim,São Paulo (SP),São Paulo,22,18 - 23
Saber me concentrar no trabalho e me adaptar as condições de trabalho: começar mesa e cadeira,A empresa foi levemente afetada (perda de receita de até 15%),"Mais tempo em casa do que indo ao escritório, perco muito menos tempo de vida em transporte hoje",Start up,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,5700,4000,Especialização,De 1 a 3,Júnior,Analista,Designer de produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,22,18 - 23
Conciliar família grande e trabalho,Não sei responder / não tenho visibilidade,Poder aproveitar mais o tempo em casa e cuidar da saúde mental,Empresa,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,8500,4000,Especialização,De 1 a 3,Pleno,Analista,Outro (especifique),Masculino,Sim,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,22,18 - 23
Acostumar com o novo ambiente de trabalho.,Não sei responder / não tenho visibilidade,Autonomia e flexibilidade,Agência ou consultoria,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,7364,3500,Superior completo,De 1 a 3,Pleno,Analista,Designer de produto,Masculino,Não,Não,Não,Pardo,Não tenho,Não,Distrito Federal (DF),Ceilandia,22,18 - 23
Conseguir acompanhar o novo ritmo de reuniões constantes,A empresa foi levemente afetada (perda de receita de até 15%),O trabalho em home office que me deu mais tempo para descansar quando a locomoção foi removida.,Agência ou consultoria,Atende clientes externos ( trabalho em consultoria ou freelancer),CLT,CLT,4900,3500,Superior completo,De 1 a 3,Pleno,Analista,Designer de produto,Feminino,Sim,Não,Não,Pardo,Não tenho,Não,São Paulo (SP),São Paulo,22,18 - 23
Comunicação interna,A empresa foi afetada de forma relevante (perda de receita entre 15% e 50%),"Reuniões periódicas, abertura de canais de comunicacao",Start up,O time é uma banda de uma pessoa só,CLT,CLT,4000,3500,Superior completo,De 1 a 3,Pleno,Analista,Designer de produto,Feminino,Não,Não,Não,Asiático,Não tenho,Não,São Paulo (SP),São Paulo,22,18 - 23
Trabalhar no mesmo lugar em que eu durmo.,A empresa foi positivamente afetada (crescimento no período),União do time.,Empresa,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,4500,3000,Superior completo,De 4 a 5,Pleno,Analista,Designer de produto,Masculino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Caetano do Sul,22,18 - 23
"Trabalhar na mesma intensidade que trabalhava no escritório, mas depois de um tempo vi que a intensidade e qualidade do meu trabalho ficou igual e melhor do que entregava antes.",A empresa foi positivamente afetada (crescimento no período),"Autogestão, gestão de tempo, disciplina e liderar meu próprio processo.",Start up,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,3800,2500,Especialização,De 1 a 3,Pleno,Analista,Designer de produto,Feminino,Não,Não,Não,Negro,Não tenho,Não,São Paulo (SP),São Paulo,22,18 - 23
,A empresa foi positivamente afetada (crescimento no período),,Agência ou consultoria,Atende clientes externos ( trabalho em consultoria ou freelancer),CLT,CLT,3080,2080,Ensino médio completo / superior incompleto,De 1 a 3,Pleno,Analista,Estrategista de UX,Feminino,Sim,Não,Não,Branco,Não tenho,Não,Rio Grande do Sul (RS),Pelotas,22,18 - 23
A falta dele...,A empresa foi levemente afetada (perda de receita de até 15%),O homeoffice sempre!,Start up,É distribuído em diferentes squads / grupos / equipes,Estagiário,Estagiário,1200,2000,Ensino médio completo / superior incompleto,Menos de 1,Estagiário(a),Analista,CX / Operações / Suporte,Feminino,Sim,Não,Não,Branco,Não tenho,Não,Rio de Janeiro (RJ),Rio de Janeiro,22,18 - 23
"Me desenvolver profissionalmente (com cursos, hackaton e etc) para ficar seguro de que meu emprego e minha renda não seriam afetados por algum outro fator",A empresa foi levemente afetada (perda de receita de até 15%),"Desejo trabalhar de forma remota quando necessário. E também ter a liberdade de vir pro office quando necessário. Não vejo a necessidade de definir uma lei pra isso, podemos deixar livro",Empresa,Modelo híbrido / Cross: squads e visão central,CLT,CLT,3300,1900,Ensino médio completo / superior incompleto,Menos de 1,Pleno,Analista,Designer de produto,Masculino,Não,"Sim, 1",Sim,Branco,Não tenho,Não,Ceará (CE),Fortaleza,22,18 - 23
"Perder o emprego e voltar a estaca zero, buscando novas oportunidades ",A empresa foi afetada de forma relevante (perda de receita entre 15% e 50%),Home office,Start up,O time é uma banda de uma pessoa só,CLT,CLT,3300,1900,Especialização,De 1 a 3,Pleno,Analista,Designer de produto,Masculino,Não,Não,Não,Negro,Não tenho,Não,Paraná (PR),Cascavel,22,18 - 23
,A empresa foi positivamente afetada (crescimento no período),,Agência ou consultoria,Não temos um time,CLT,CLT,2450,1900,Ensino médio completo / superior incompleto,De 1 a 3,Pleno,Analista,Designer de produto,Masculino,Sim,Não,Não,Branco,Não tenho,Não,Minas Gerais (MG),Poços de Caldas,22,18 - 23
"Conseguir me inserir no mercado de trabalho, que para profissionais Juniors ja estava complicado",A empresa foi positivamente afetada (crescimento no período),Quero poder manter a flexibilidade de trabalhar home office alguns dias da semana quando tudo voltar ao normal (atuar presencial),Outro,Equipe que atende a outras áreas,CLT,CLT,4661,1800,Especialização,Menos de 1,Júnior,Analista,UI Designer,Feminino,Sim,Não,Não,Branco,Não tenho,Não,São Paulo (SP),Leme,22,18 - 23
,A empresa foi levemente afetada (perda de receita de até 15%),,Start up,É distribuído em diferentes squads / grupos / equipes,Estagiário,Estagiário,1600,1600,Ensino médio completo / superior incompleto,De 1 a 3,Estagiário(a),Analista,Pesquisador em design / UX Researcher / Pesquisador em produto,Feminino,Não,Não,Não,Branco,Não tenho,Não,São Paulo (SP),São Paulo,22,18 - 23
"Me adaptar a realidade do home office e consegui separar o horário de trabalho da vida pessoal, acabei excedendo muito as horas de trabalho e ainda tenho dificuldade em me concentra 100% no trabalho ao longo do dia",Não sei responder / não tenho visibilidade,"Gostaria de manter a rotina de home office ao menos alguns dias da semana, por não precisar me deslocar de casa até o trabalho consegui ganhar pelo menos 4 horas a mais ao longo do meu dia pra me dedicar a outras tarefas que antes não tinha tempo para fazer.",Start up,O time é uma banda de uma pessoa só,CLT,CLT,1800,1600,Superior completo,Menos de 1,Júnior,Analista,UI Designer,Feminino,Não,Não,Não,Branco,Não tenho,Não,Minas Gerais (MG),Belo Horizonte,22,18 - 23
Concentração,A empresa foi positivamente afetada (crescimento no período),Autonomia,Agência ou consultoria,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,3332,1500,Superior completo,Menos de 1,Júnior,Analista,Designer de produto,Feminino,Sim,Não,Não,Branco,Não tenho,Não,São Paulo (SP),Praia Grande,22,18 - 23
Onboarding totalmente virtual. Comecei na empresa no início da pandemia.,A empresa foi positivamente afetada (crescimento no período),Manter uma quantidade de tarefas semanais que leve em consideração a qualidade das entregas e a saúde mental do time e também manter o home office alguns dias na semana.,Empresa,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,3800,1500,Superior completo,De 1 a 3,Pleno,Analista,Operações em design (DesignOps),Feminino,Não,Não,Não,Branco,Não tenho,Não,Rio Grande do Sul (RS),Porto Alegre,22,18 - 23
,Não sei responder / não tenho visibilidade,,Agência ou consultoria,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,4880,1400,Ensino médio completo / superior incompleto,De 1 a 3,Pleno,Analista,Redator / UX Writer,Feminino,Sim,Não,Não,Branco,Não tenho,Não,Santa Catarina (SC),Florianópolis,22,18 - 23
Me concentrar em faculdade e trabalho ao mesmo tempo,A empresa foi positivamente afetada (crescimento no período),Tomar café da manhã,Start up,Equipe que atende a outras áreas,CLT,CLT,2300,1200,Ensino médio completo / superior incompleto,De 1 a 3,Pleno,Analista,Designer de produto,Feminino,Não,Não,Não,Negro,Não tenho,Não,Rio de Janeiro (RJ),São João de Meriti,22,18 - 23
,A empresa foi positivamente afetada (crescimento no período),Flexibilidade de trabalhar em home office,Start up,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,4500,1125,Superior completo,De 1 a 3,Pleno,Analista,Designer de produto,Masculino,Sim,Não,Não,Branco,Não tenho,Não,Minas Gerais (MG),Belo Horizonte,22,18 - 23
"Criar e manter uma rotina produtiva, conseguir me concentrar se minha pauta não estivesse tão cheia",Não sei responder / não tenho visibilidade,Gostaria de trabalhar home office parcial ou até integral,Start up,Modelo híbrido / Cross: squads e visão central,CLT,CLT,2700,1100,Superior completo,Menos de 1,Júnior,Analista,UX Designer,Feminino,Não,Não,Não,Asiático,Não tenho,Não,Paraná (PR),Curitiba,22,18 - 23
Comunicação com outros colegas de trabalho e concentração.,A empresa foi levemente afetada (perda de receita de até 15%),Flexibilidade para trabalhar remotamente quando necessário.,Empresa,É distribuído em diferentes squads / grupos / equipes,Estagiário,Estagiário,1000,1000,Ensino médio completo / superior incompleto,De 1 a 3,Júnior,Analista,UX Designer,Feminino,Sim,Não,Não,Branco,Não tenho,Não,Santa Catarina (SC),Florianópolis,22,18 - 23
Apenas para resolver problemas técnicos específicos.,Não sei responder / não tenho visibilidade,"Permanecer Home Office, para não perder tempo em transporte até o local presencial da empresa.",Agência ou consultoria,Equipe que atende a outras áreas,CLT,CLT,3000,800,Ensino médio completo / superior incompleto,De 1 a 3,Júnior,Analista,UI Designer,Outro ou não binário,Sim,Não,Não,Branco,Não tenho,Não,Ceará (CE),Fortaleza,22,18 - 23
Mostrar produtividade e organização,A empresa foi positivamente afetada (crescimento no período),"Flexibilidade do horário de almoço, cultura de revisão do trabalho dos mais juniors da equipe, uso de dailies para toda a equipe com momentos para perguntar quem precisa de ajuda.",Outro,Equipe que atende a outras áreas,CLT,CLT,3000,750,Superior completo,Menos de 1,Júnior,Analista,UX Designer,Feminino,Sim,Não,Não,Branco,Não tenho,Não,Ceará (CE),Fortaleza,22,18 - 23
"Comecei um novo emprego em home office, tive dificuldades para me adaptar aos processos da empresa por estar remotamente desde o início ",A empresa foi positivamente afetada (crescimento no período),O horário flexível e o trabalho remoto,Agência ou consultoria,É distribuído em diferentes squads / grupos / equipes,Estagiário,Estagiário,1125,700,Ensino médio completo / superior incompleto,De 1 a 3,Júnior,Analista,Designer de produto,Masculino,Não,Não,Não,Branco,Não tenho,Não,Minas Gerais (MG),Belo Horizonte,22,18 - 23
A mudança de proposta de valor do produto.,Não sei responder / não tenho visibilidade,"Investimento em equipamentos melhores como mesa e cadeiras boas, como equipamentos eletrônicos",Start up,Outro (Qual?),Estagiário,Estagiário,1000,600,Ensino médio completo / superior incompleto,De 1 a 3,Estagiário(a),Analista,Outro (especifique),Feminino,Não,Não,Não,Negro,Não tenho,Não,Rio Grande do Sul (RS),Pelotas,22,18 - 23
"Conciliar trabalho com vida pessoal e ter um ambiente propício ao trabalho. São muito intervenientes, muitas tarefa de casa para fazer, o que atrapalha minha produtividade no trabalho e me deixa cansada mental e fisicamente. ",A empresa foi positivamente afetada (crescimento no período),Maior comprometimento e autonomia para seguir horários de trabalho mais adequados no meu dia,Empresa,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,3691,500,Superior completo,Menos de 1,Trainee,Analista,UX Designer,Feminino,Não,Não,Não,Pardo,Não tenho,Não,Ceará (CE),Quixadá,22,18 - 23
separar a vida pessoal de profissional,A empresa foi positivamente afetada (crescimento no período),Ficar perto da familia,Empresa,O time é uma banda de uma pessoa só,PJ,PJ,3894,0,Ensino médio completo / superior incompleto,De 1 a 3,Júnior,Analista,UX Designer,Masculino,Sim,Não,Não,Branco,Não tenho,Não,Pernambuco (PE),Recife,22,18 - 23
,A empresa foi positivamente afetada (crescimento no período),,Empresa,Modelo híbrido / Cross: squads e visão central,CLT,CLT,1600,0,Superior completo,Menos de 1,Júnior,Analista,Designer de produto,Feminino,Não,Não,Não,Negro,Não tenho,Não,São Paulo (SP),Carapicuíba,22,18 - 23
"Separar o trabalho do pessoal, ergonomia (até conseguir o empréstimo da cadeira do escritório onde trabalho)",A empresa foi positivamente afetada (crescimento no período),"Pequenas durante o dia, de 2 em 2h (espiritualidade, respiro ao ar livre, conversar com familiares, resolver pequenas pendências pessoais)",Agência ou consultoria,Outro (Qual?),CLT,CLT,3200,0,Superior completo,Menos de 1,Pleno,Analista,UX Designer,Feminino,Não,Não,Não,Branco,Não tenho,Não,Minas Gerais (MG),Sabará,22,18 - 23
Estar trancado em casa,A empresa foi positivamente afetada (crescimento no período),"Trabalho home office, reunioes diarias com o time, e o uso de plataformas de colaboração (Ex: Miro)",Empresa,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,3700,3250,Superior completo,De 1 a 3,Júnior,Analista,UX Designer,Masculino,Não,Não,Não,Branco,Deficiência motora,Sim,São Paulo (SP),São Paulo,23,18 - 23
Conseguir organizar o trabalho.,Não sei responder / não tenho visibilidade,Home office algumas vezes na semana.,Empresa,Modelo híbrido / Cross: squads e visão central,CLT,CLT,1500,1500,Ensino médio completo / superior incompleto,Menos de 1,Júnior,Analista,UI Designer,Feminino,Sim,Não,Não,Prefiro não dizer,Deficiência visual (fora daltonismo),Sim,Santa Catarina (SC),Blumenau,23,18 - 23
,A empresa foi positivamente afetada (crescimento no período),,Outro,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,7500,6800,Superior completo,De 1 a 3,Pleno,Analista,Designer de produto,Feminino,Não,Não,Não,Asiático,Não tenho,Não,São Paulo (SP),São Paulo,23,18 - 23
Conseguir definir horários pra começar e terminar meu turno se trabalho.,A empresa foi positivamente afetada (crescimento no período),Liberdade de poder escolher onde trabalhar,Empresa,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,8000,6000,Superior completo,De 4 a 5,Sênior,Analista,Designer de produto,Masculino,Não,Não,Não,Pardo,Não tenho,Não,São Paulo (SP),Campinas,23,18 - 23
Ficar totalmente isolado e separar a quantidade de horas de trabalho como no escritório.,A empresa foi positivamente afetada (crescimento no período),"Conforto de trabalhar em casa, as reuniões com a galera que não era tão próxima",Agência ou consultoria,Atende clientes externos ( trabalho em consultoria ou freelancer),CLT,CLT,6200,5500,Superior completo,De 4 a 5,Pleno,Analista,Designer de produto,Masculino,Sim,Não,Não,Branco,Não tenho,Não,São Paulo (SP),Osasco,23,18 - 23
Comunicação,Não sei responder / não tenho visibilidade,"Disciplina, continuar tendo mais tempo pra mim (visto que não perco mais tempo de ida e volta para o trabalho)",Empresa,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,6900,5400,Superior completo,De 4 a 5,Pleno,Analista,UX Designer,Masculino,Não,Não,Não,Pardo,Não tenho,Não,Minas Gerais (MG),Belo Horizonte,23,18 - 23
Adaptação a um novo emprego de forma remota,Não sei responder / não tenho visibilidade,Home office,Agência ou consultoria,Atende clientes externos ( trabalho em consultoria ou freelancer),CLT,CLT,4540,5198,Superior completo,De 4 a 5,Sênior,Analista,UX Designer,Feminino,Não,Não,Não,Branco,Não tenho,Não,Santa Catarina (SC),Florianópolis,23,18 - 23
As pessoas não entendem que o período de pandemia não é um período normal de home office,Não sei responder / não tenho visibilidade,manter um trabalho remoto,Start up,É distribuído em diferentes squads / grupos / equipes,CLT,CLT,6000,5000,Ensino médio completo / superior incompleto,Menos de 1,Pleno,Analista,Designer de produto,Feminino,Sim,Não,Não,Asiático,Não tenho,Não,São Paulo (SP),São Paulo,23,18 - 23
